Название курса,Ссылка,Описание,Создатели,Направления
Политическая проблематика международного права,https://www.utmn.ru/obrazovanie/iot/electives/1098988/,"Курс ""Политическая проблематика международного права"" в рамках майнора ""Политические риски и устойчивое развитие мира"" нацелен на формирование представлений о современных политических рисках, их влиянии на модификацию системы современного международного права, что приводит к дестабилизации сложившегося мирового порядка и как следствие, нарушению устойчивого развития государств.
Цель курса состоит в в развитии способностей к анализу негативного воздействия политических рисков на эффективность функционирования и трансформацию системы международного права.
Задачи курса:
знать основные политические риски современности, оказывающие негативное воздействие на систему современного международного права;
осознавать последствия влияния политических рисков на устойчивое развитие стран мира с учетом критерия международного правопорядка;
обладать навыками комплексного анализа политических рисков современности, оказывающих негативное воздействие на международное право;
уметь применять знания о политических рисках современности для оценки последствий нарушения соблюдения международно-правовых стандартов со стороны политических акторов.",Пустошинская Ольга Сергеевна,"Экономика, Право, Политика"
Мировая экономика и политические риски,https://www.utmn.ru/obrazovanie/iot/electives/1098993/,"Дисциплина «Политические риски и мировая экономика» посвящена изучению влияния политических рисков на устойчивое развитие мировой экономики. В курсе будут рассмотрены общие теоретические и практические вопросы устойчивого развития мировой экономики при условии влияния политических рисков.
Данный курс рассматривает влияние таких рисков как: риск экспроприации (expropriation risk), конфискации и национализации; риск вынужденного отказа от имущества (forced abandonment and forced divestiture risks). риск выборочной дискриминации (selective discrimination risk) иностранных инвесторов. риск запрета на вывоз результатов деятельности предприятия с иностранным капиталом (deprivation risk); риск трансфера или не конвертируемости валюты (transfer restriction risk) и инвестиционные проекты.
Цель освоения дисциплины «Политические риски и мировая экономика» – дать студентам развернутое представление о теоретических подходах к изучению политических рисков и их влиянии на устойчивое развитие мировой экономики. 
Учебные задачи дисциплины:
изучить ключевые понятия и тенденции развития мировой экономки на современном этапе;
рассмотреть существующие взгляды на понятие устойчивое развитие;
изучить структуру и тенденции развития и факторы, вызывающие разбалансированность экономики мировой экономики;
рассмотреть глобализацию как фактор экономических и политических рисков;
изучить политические риски как составляющие странового риска, а также методы их оценки;
проанализировать и оценить влияние политических рисков на международную торговлю;
проанализировать влияние политических рисков на состояние национальных и международной валютной системы;
изучить влияние политических рисков на процессы международного движения капиталов;
на основе опыта разных стран оценить политические риски экономических реформ;
изучить влияние политических рисков на состояние российской экономики.",Карагулян Егине Араратовна,"Экономика, Право, Политика"
"Международная безопасность: угрозы, вызовы и перспективы",https://www.utmn.ru/obrazovanie/iot/electives/1098996/,"Курс ""Международная безопасность: угрозы, вызовы и перспективы"" в рамках майнора ""Политические риски и устойчивое развитие мира"" нацелен на формирование представлений о вызовах и угрозах международной безопасности, их влиянии на состояние на человека и устойчивое развитие, навыков по определению последствий такого воздействия, а также применению полученных знаний для выбора адекватных мер по противодействию подобным негативным проявлениям в рамках выполнения своих профессиональных обязанностей.
Цель курса состоит в формировании способности ориентироваться в динамике основных характеристик среды международной, национальной и региональной безопасности, подверженной воздействию политических рисков современности, дестабилизирующих устойчивое развитие государств в современной системе международных отношений.
Задачи курса:
знать основные политические угрозы и вызовы современности, оказывающие негативное воздействие на международную безопасность и безопасность государств;
осознавать последствия влияния традиционных и новых угроз и вызовов на человека и устойчивое развитие стран мира с учетом критерия международной и национальной безопасности;
обладать навыками комплексного анализа политических угроз и вызовов современности , оказывающих негативное воздействие на международную безопасность и безопасность государств;
уметь применять знания о политических угрозах и вызовах современности для выбора адекватных мер по противодействию их негативным проявлениям в области международной, национальной, региональной безопасности, в рамках выполнения своих профессиональных обязанностей.",Баязитова Гульнара Ильгизовна,"Экономика, Право, Политика"
Политическая экология,https://www.utmn.ru/obrazovanie/iot/electives/1098981/,"В рамках учебного курса «Политическая экология» рассматриваются важнейшие положения в области принятия политических решений в условиях глобального экологического кризиса, учета взаимосвязи экологической устойчивости и экономического роста. Характеризуются важнейшие международные договоры в области охраны окружающей среды, деятельность международных экологических организаций, основные положения Концепции устойчивого развития и Конвенции ООН по морскому праву. 
Представлены основные направления решения экологических проблем и стратегии учета экологических проблем и факторов при принятии политических решений. Курс имеет широкие межпредметные связи с экологией, политологией, экономикой, политической и социально-экономической географией, регионоведением. Освоив учебную дисциплину, студенты должны хорошо ориентироваться в вопросах оценки политических рисков при принятии политических решений в условиях глобального экологического кризиса, сценариев его преодоления и оптимизации качества окружающей среды.
Цель курса - формирование и развитие у студентов общекультурных, общепрофессиональных и профессиональных компетенций, необходимых для осуществления профессиональной деятельности по профилю подготовки.
Задачи курса:
1) получение и формирование студентами знаний о глобальных экологических проблемах и современном глобальном экологическом кризисе;
2) освоение основных категорий в области международного сотрудничества в области охраны окружающей природной среды;
3) формирование знаний о принципах и основных направлениях деятельности международных экологических организаций;
4) развитие умений и навыков обсуждения вопросов и принятия решения в сфере охраны окружающей природной среды на международном уровне.",Маршинин Александр Владимирович,"Экономика, Право, Политика"
Анализ данных,https://www.utmn.ru/obrazovanie/iot/electives/1098068/,"Сегодня мир «захлебывается» в информации. Информация — это еще не данные. Современные средства позволяют получить огромное количество информации, выполнить множество тестов в стиле «Просто спроси». Наша цель: научить задавать правильные вопросы и ориентироваться в математических методах, технических средствах обоснования ответов.
Курс предназначен для тех, кто хочет научиться представлять табличные данные, анализировать их в самых разных предметных областях.
Цель дисциплины: научить задавать правильные вопросы и ориентироваться в математических методах, технических средствах обоснования ответов.
Применение на практике. Сбор и классификация данных для анализа. Организация и анализ данных в многомерных статистических таблицах (Excel, SPSS). Визуализация результатов. Составление кратких текстовых аналитических справок.
Особенности курса: гуманизация математического знания. Главный тренд современной науки — математизация гуманитарного знания и гуманизация математических методов, практик и технических средств поддержки. Современные средства позволяют получить огромное количество информации, сформировать огромное количество отчетов, выполнить множество тестов в стиле «просто спроси». Проблема заключается в правильной (научно обоснованной и эмпирически проверенной) стратегии организации «встречи вопроса и ответа». Курс направлен на изучение базовых статистических методов анализа данных, знакомство с применением методов анализа данных в стандартных статистических пакетах на примере конкретных данных.
Курс направлен на знакомство с базовыми статистическими методами анализа данных, с применением методов анализа данных в стандартных статистических пакетах на примере конкретных данных.
Основные задачи курса:
- дать представление о фундаментальных понятиях и теоретических основах анализа данных; 
- сформировать у студентов практические навыки использования компьютерных программ анализа данных на конкретных исследовательских задачах;
- сформировать у студентов представления о возможностях и ограничениях основных методов одномерного и многомерного статистического анализа данных и особенности интерпретации результатов.
Способность получать информацию, анализировать ее, генерировать и использовать новые идеи; способность использовать в познавательной и профессиональной деятельности элементы математического знания.",Ромашкина Гульнара Фатыховна,"Аналитика, Социология"
Повседневный немецкий язык,https://www.utmn.ru/obrazovanie/iot/electives/1112642/,"Предложены такие темы для совершенствования знаний: досуг молодежи, мечты, планы на будущее, отношения и другие вопросы , которые значимы для вас, дорогие студенты!
На жизненный успех и успех работы всегда большое влияние имеют развитые навыки коммуникации, эмпатии и лидерства. В различных ситуациях мы будем развивать наши навыки коммуникации, учиться понимать себя и относитесь к людям с сопереживанием, но на немецком языке. Также вы будете владеть умениями и навыками устной речи в рамках общей языковой тематики (уровень А.2.1,классификация общеевропейских компетенций владения иностранным языком) и сможете дальше совершенствовать свои знания немецкого языка .",Абсалямова Рамзия Ахмаровна,"Soft skills, Культура, Немецкий, Иностранный язык, Коммуникативные практики"
"""Зеленая"" география",https://www.utmn.ru/obrazovanie/iot/electives/1109874/,"Сегодня инновационные технологии и производства - это зеленые технологии. Что это такое ""зеленые"" технологии, где их искать на карте России, почему сегодня в них вкладывают финансовые ресурсы ""Роснефть"", ""Газпром"", с чем они связаны? Ответы на эти вопросы вы найдете в элективном курсе ""зеленая"" география
Изучив курс ""зеленая"" география Вы сможете разбираться в ""зеленых"" технологиях, узнаете где можно их развивать на территории России и почему сегодня это актуально и выгодно",Кузнецова Эльза Афанасьевна,Экология
"""Зеленая"" экономика и устойчивое развитие",https://www.utmn.ru/obrazovanie/iot/electives/1099728/,"Структура дисциплины построена по принципу выделения относительно самостоятельных, логически взаимосвязанных и последовательно развивающих друг друга разделов, подаю­щих материал от общего представления о «зеленой» экономике как элементе глобальной экономики к углубленному исследо­ванию специальных вопросов (принципы устойчивого развития и корпоративной социальной ответственности, отраслевые особенности развития «зеленой» экономики; зеленое «инвестирование» и др.).
В результате освоения дисциплины студент будет:

Знать:
– взаимосвязь ""зеленой"" экономики и устойчивого развития в глобальном масштабе;
– общие принципы и мероприятия по реализации принципов устойчивого развития;
– сущность ""зеленой"" экономики;
– роль финансовых и банковских институтов в реализации ""зеленых"" проектов;
– состояние и тенденции развития ""зеленой"" экономики в России и зарубежных странах;
– отраслевые особенности внедрения ""зеленых"" технологий;
– направления современных научных исследований в области ""зеленой"" экономики и финансов.

Уметь:
– анализировать и прогнозировать развитие ""зеленых"" технологий в России;
– использовать для решения научно-исследовательских и практических задач, связанных с взаимодействием человека и природы, методы и инструменты ""зеленой"" экономики;
– представлять результаты аналитической и исследовательской работы в области анализа основных сегментов ""зеленой"" экономики в виде докладов, презентаций, информационного обзора;
– аргументировано отстаивать свою точку зрения в дискуссиях и дебатах по вопросам ""зеленой"" экономики.",Тарханова Елена Александровна,Науки о жизни
"«Самописный родословец»: история фамилии, история рода, история семьи.",https://www.utmn.ru/obrazovanie/iot/electives/1099653/,"Основные темы курса связаны с поиском и изучением источников, методикой генеалогического поиска и способами фиксации генеалогической информации: источники для составления родословных, генеалогическая литература и генеалогические сайты, отработка навыков чтения рукописных материалов XVII – начала XX века, теория и практика генеалогического поиска, компьютерные программы для составления родословных.
В процессе прохождения курса студент познакомится c литературой теоретического и справочного характера по генеалогии; ознакомится с деятельностью основных урало-сибирских генеалогических центров и их изданиями; получит представление о круге основных источников по генеалогии; научится читать старинные рукописные тексты; получит навыки работы в архиве в том числе в удаленном доступе; освоит методику генеалогического поиска; освоит работу с компьютерными программами для фиксирования генеалогического материала.",Туров Сергей Викторович,"История, Антропология"
1 С Предприятие,https://www.utmn.ru/obrazovanie/iot/electives/1099771/,"В данном курсе мы изучим организацию управления и учета в бизнесе с помощью таких программ, как ""1 С Бухгалтерия"", ""1 С: Управление нашей фирмой"", ""1 С: Управление торговлей"", ""1 С: Зарплата и управление персоналом"", ""1 С: ERP Управление предприятием"".
В результате освоения дисциплины обучающийся будет: - уметь применять основные методы финансового менеджмента для оценки активов, управления оборотным капиталом, принятия инвестиционных решений, решений по финансированию, формированию дивидендной политики и структуры капитала, в том числе, при принятии решений, связанных с операциями на мировых рынках в условиях глобализации; - владеть навыками поэтапного контроля реализации бизнес-планов и условий заключаемых соглашений, договоров и контрактов, умением координировать деятельность исполнителей с помощью методического инструментария реализации управленческих решений в области функционального менеджмента для достижения высокой согласованности при выполнении конкретных проектов и работ.","Викторова Наталья Викторовна, Каримова Диана Вильдановна",Менеджмент
